<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>
2020.04.02	09:04:26.920			5259.0	5.00000000
2020.04.02	09:04:26.920			5259.0	10.00000000
2020.04.02	09:04:26.931			5259.5	5.00000000
2020.04.02	09:04:26.996			5259.0	5.00000000
2020.04.02	09:04:26.996			5259.0	10.00000000
2020.04.02	09:04:26.996			5259.0	5.00000000
2020.04.02	09:04:26.996			5258.5	5.00000000
2020.04.02	09:04:26.996			5258.5	5.00000000
2020.04.02	09:04:26.996			5258.5	5.00000000
2020.04.02	09:04:26.996			5258.5	5.00000000
2020.04.02	09:04:26.999			5258.5	10.00000000
2020.04.02	09:04:27.236		5259.5		
2020.04.02	09:04:27.237	5259.0			
2020.04.02	09:04:27.241		5260.0		
2020.04.02	09:04:27.243	5258.0			
2020.04.02	09:04:27.243		5258.5		
2020.04.02	09:04:27.245		5259.5		
2020.04.02	09:04:27.245	5258.5			
2020.04.02	09:04:27.986			5259.0	5.00000000
2020.04.02	09:04:29.499	5259.0			
2020.04.02	09:04:30.920			5259.0	5.00000000
2020.04.02	09:04:30.920			5258.5	5.00000000
2020.04.02	09:04:30.920			5258.5	5.00000000
2020.04.02	09:04:30.920			5258.5	5.00000000
2020.04.02	09:04:30.920			5258.5	5.00000000
2020.04.02	09:04:30.924			5258.5	15.00000000
2020.04.02	09:04:30.924			5258.5	5.00000000
2020.04.02	09:04:30.925			5258.5	5.00000000
2020.04.02	09:04:31.022	5258.0			
2020.04.02	09:04:31.022		5258.5		
2020.04.02	09:04:31.026		5259.5		
2020.04.02	09:04:31.026		5259.0		
2020.04.02	09:04:31.136			5259.0	5.00000000
2020.04.02	09:04:32.581			5258.5	5.00000000
2020.04.02	09:04:33.683	5257.5			
2020.04.02	09:04:35.505			5257.5	5.00000000
2020.04.02	09:04:35.505			5257.5	20.00000000
2020.04.02	09:04:35.505			5257.5	5.00000000
2020.04.02	09:04:35.505			5257.5	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.505			5257.0	5.00000000
2020.04.02	09:04:35.594	5257.0			
2020.04.02	09:04:35.596		5258.5		
2020.04.02	09:04:35.599	5256.5			
2020.04.02	09:04:35.599		5258.0		
2020.04.02	09:04:35.603		5257.5		
2020.04.02	09:04:36.342	5256.0			
2020.04.02	09:04:36.344		5257.0		
2020.04.02	09:04:39.763	5256.5			
2020.04.02	09:04:40.144		5257.5		
2020.04.02	09:04:40.224			5257.0	5.00000000
2020.04.02	09:04:40.224			5257.0	5.00000000
2020.04.02	09:04:40.524	5256.0			
2020.04.02	09:04:40.526	5256.5			
2020.04.02	09:04:43.843			5256.5	5.00000000
2020.04.02	09:04:43.843			5256.5	5.00000000
2020.04.02	09:04:43.848			5256.5	40.00000000
2020.04.02	09:04:43.959	5256.0			
2020.04.02	09:04:43.959		5256.5		
2020.04.02	09:04:43.960		5257.0		
2020.04.02	09:04:43.968		5256.5		
2020.04.02	09:04:45.470	5255.5			
2020.04.02	09:04:45.470		5256.0		
2020.04.02	09:04:45.472	5255.0			
2020.04.02	09:04:45.474			5256.0	5.00000000
2020.04.02	09:04:45.776			5256.0	5.00000000
2020.04.02	09:04:45.776			5256.5	5.00000000
2020.04.02	09:04:45.854		5256.5		
2020.04.02	09:04:45.864		5256.0		
2020.04.02	09:04:46.227		5256.5		
2020.04.02	09:04:46.227	5255.5			
2020.04.02	09:04:46.229	5255.0			
2020.04.02	09:04:46.229		5256.0		
2020.04.02	09:04:46.605		5256.5		
2020.04.02	09:04:46.605	5255.5			
2020.04.02	09:04:46.836			5255.5	5.00000000
2020.04.02	09:04:46.838			5255.5	15.00000000
2020.04.02	09:04:46.990	5255.0			
2020.04.02	09:04:46.990		5255.5		
2020.04.02	09:04:46.990		5256.5		
2020.04.02	09:04:46.992		5256.0		
2020.04.02	09:04:47.149			5256.0	5.00000000
2020.04.02	09:04:47.753		5255.5		
2020.04.02	09:04:48.131		5256.0		
2020.04.02	09:04:50.407	5255.5			
2020.04.02	09:04:50.408		5256.5		
2020.04.02	09:04:50.942			5255.5	5.00000000
2020.04.02	09:04:50.942			5255.0	5.00000000
2020.04.02	09:04:50.942			5255.0	5.00000000
